ticker,horizon,confidence_threshold,total_return,cagr,volatility,sharpe,sortino,max_drawdown,calmar,win_rate,profit_factor,trades,exposure,oos_accuracy,oos_accuracy_std,status
MSFT,5,0.5,0.08308093614044365,0.012137886889813654,0.09994270520066394,0.17061386956661476,0.09755412280535829,-0.18509570221525318,0.06557627618872615,0.5,1.338354046618056,30,0.14148681055155876,0.46142058371735784,0.0688722329977206,success
MSFT,5,0.55,0.0025846595043041987,0.000390294443879613,0.08262857255563946,0.045757968527238416,0.021267137368701002,-0.2101022718654606,0.0018576402835355289,0.5238095238095238,1.0839235283070194,21,0.09172661870503597,0.46142058371735784,0.0688722329977206,success
MSFT,5,0.6,-0.047844211500640554,-0.00738394552745536,0.05577921869998361,-0.10477410126548238,-0.036894834947090054,-0.19705507852092652,-0.03747148047580622,0.5,0.8557730271328935,16,0.053357314148681056,0.46142058371735784,0.0688722329977206,success
MSFT,5,0.65,-0.08111520402340655,-0.012706713431166028,0.04514143584280131,-0.26042378364616436,-0.06072019149216614,-0.154863212779497,-0.08205120637177123,0.5714285714285714,0.3780422029016023,7,0.023980815347721823,0.46142058371735784,0.0688722329977206,success
MSFT,21,0.5,-0.12472827199584857,-0.01993753686976507,0.09163256243938196,-0.17354271869039967,-0.09778339944678598,-0.23494730017709609,-0.08485961258008398,0.6111111111111112,0.720642982281885,18,0.1642685851318945,0.46024505638604774,0.1593995098839041,success
MSFT,21,0.55,-0.1495003003517752,-0.024181921270873707,0.08363134368192693,-0.2504050886412754,-0.11932883486765006,-0.2169602578888089,-0.11145783797540851,0.4090909090909091,0.6154876255010149,22,0.11151079136690648,0.46024505638604774,0.1593995098839041,success
MSFT,21,0.6,-0.05065745292181334,-0.007827850974565842,0.06768305821524315,-0.08206856055829298,-0.03142154833805633,-0.08358603703427081,-0.09365022260065246,0.5333333333333333,0.7260023193107651,15,0.06534772182254196,0.46024505638604774,0.1593995098839041,success
MSFT,21,0.65,-0.041311923887358604,-0.006357484477864661,0.04941896665224462,-0.1041256578312034,-0.029591732224556917,-0.05773116712078785,-0.11012222331419759,0.3,0.5567213727593353,10,0.03537170263788969,0.46024505638604774,0.1593995098839041,success
GOOGL,1,0.5,0.2849871582549155,0.038633208337370384,0.12869854442721523,0.3582113233812684,0.3107428619313173,-0.16687953423337953,0.23150357241135505,0.5645161290322581,1.527084813741469,62,0.21522781774580335,0.5301081413210446,0.08076005538593413,success
GOOGL,1,0.55,-0.179668917103047,-0.029495032653240272,0.08460076345100978,-0.3113299406972434,-0.1841700438080261,-0.25965538163376045,-0.11359299571476827,0.4791666666666667,0.7575384498069652,48,0.11510791366906475,0.5301081413210446,0.08076005538593413,success
GOOGL,1,0.6,-0.08195899023492337,-0.012843817960800252,0.03956925458204506,-0.30670245413987846,-0.09971120031023026,-0.13812111031731067,-0.09298953600426235,0.42105263157894735,0.6856966881075627,19,0.02577937649880096,0.5301081413210446,0.08076005538593413,success
GOOGL,1,0.65,-0.002899343449126901,-0.0004388333672270539,0.0065760255636832824,-0.06341828738549633,-0.00931505899965112,-0.009242427656125152,-0.04748031399912877,0.0,0.0,2,0.004796163069544364,0.5301081413210446,0.08076005538593413,success
GOOGL,5,0.5,0.2771700687116272,0.03767557885166761,0.11803961036391551,0.37189806275102116,0.2595006008471685,-0.2137366458381581,0.17627103065983196,0.6333333333333333,1.6664787399181107,30,0.17685851318944845,0.5206082949308756,0.06182789920902546,success
GOOGL,5,0.55,-0.0980635521076253,-0.015481328601669064,0.1018208762762959,-0.10231464885963346,-0.052683245046968426,-0.1951932629631402,-0.0793128224133049,0.5757575757575758,0.8438915387217798,33,0.10671462829736211,0.5206082949308756,0.06182789920902546,success
GOOGL,5,0.6,-0.12245819329773566,-0.019553706654183545,0.06258134961707901,-0.2838871753404678,-0.09794687521640842,-0.16574914000594732,-0.11797169296614106,0.4444444444444444,0.4997067085622107,18,0.049160671462829736,0.5206082949308756,0.06182789920902546,success
